Snow ratio,Log likelihood,Error std,O18 lapse rate
0.52,-689592.05,0.49,-0.0
0.68,-690066.01,0.49,0.0
0.61,-690239.09,0.49,-0.0
0.67,-690470.37,0.49,-0.0
0.72,-690661.24,0.49,-0.0
0.45,-691342.16,0.49,-0.0
0.53,-691369.24,0.49,-0.0
0.6,-691937.18,0.49,-0.0
0.75,-691982.75,0.49,0.0
0.63,-692308.88,0.49,-0.0
0.71,-692495.35,0.49,0.0
0.67,-692654.21,0.49,-0.0
0.69,-693432.61,0.49,0.0
0.77,-694366.18,0.49,0.0
0.7,-694449.01,0.49,-0.0
0.73,-694809.54,0.49,0.0
0.76,-695253.35,0.49,0.0
0.5,-695637.11,0.49,-0.0
0.77,-695756.02,0.49,0.0
0.5,-696268.26,0.49,-0.0
0.65,-697155.48,0.49,0.0
0.69,-697225.33,0.49,0.0
0.62,-698150.14,0.49,-0.0
0.42,-699099.37,0.49,-0.0
0.76,-699297.03,0.49,0.0
0.76,-699391.22,0.49,0.0
0.77,-700115.12,0.49,0.0
0.78,-700120.72,0.49,0.0
0.6,-700882.78,0.49,0.0
0.66,-701537.89,0.49,0.0
0.78,-701601.42,0.49,0.0
0.78,-702152.19,0.49,0.0
0.47,-703085.8,0.49,-0.0
0.57,-704695.94,0.49,0.0
0.4,-704951.22,0.49,-0.0
0.57,-706085.73,0.49,-0.0
0.4,-706812.38,0.49,-0.0
0.49,-707235.95,0.49,-0.0
0.62,-708631.7,0.49,-0.0
0.69,-709384.96,0.49,0.0
0.66,-709715.34,0.49,-0.0
0.73,-709803.05,0.49,0.0
0.41,-709826.0,0.49,-0.0
0.6,-711379.41,0.49,-0.0
0.7,-711469.42,0.49,0.0
0.4,-711679.49,0.49,-0.0
0.78,-711824.81,0.49,0.0
0.75,-711951.76,0.49,0.0
0.43,-712006.78,0.49,-0.0
0.4,-712048.9,0.49,-0.0
0.64,-712134.59,0.49,-0.0
0.67,-712295.05,0.49,0.0
0.73,-712902.25,0.49,0.0
0.43,-713220.68,0.49,-0.0
0.46,-714415.27,0.49,-0.0
0.62,-714457.89,0.49,0.0
0.49,-714983.61,0.49,-0.0
0.39,-715854.47,0.49,-0.0
0.41,-716465.79,0.49,-0.0
0.43,-717245.88,0.49,-0.0
0.39,-717963.73,0.49,-0.0
0.79,-718425.55,0.49,0.0
0.79,-718746.05,0.49,0.0
0.42,-720605.44,0.49,-0.0
0.48,-720734.4,0.49,-0.0
0.79,-721608.0,0.49,0.0
0.49,-723088.44,0.49,-0.0
0.42,-723655.61,0.49,-0.0
0.65,-725148.29,0.49,0.0
0.39,-725607.73,0.49,-0.0
0.58,-725773.32,0.49,0.0
0.46,-725923.57,0.49,-0.0
0.38,-726601.72,0.49,-0.0
0.41,-726689.93,0.49,-0.0
0.38,-727360.72,0.49,-0.0
0.79,-727538.81,0.49,0.0
0.4,-727556.48,0.49,-0.0
0.4,-727751.21,0.49,-0.0
0.63,-728259.81,0.49,0.0
0.63,-728529.1,0.49,0.0
0.39,-728729.79,0.49,-0.0
0.72,-729245.57,0.49,-0.0
0.52,-729502.08,0.49,0.0
0.51,-730003.98,0.49,-0.0
0.79,-730149.89,0.49,0.0
0.79,-730166.34,0.49,0.0
0.63,-730224.58,0.49,-0.0
0.37,-730513.29,0.49,-0.0
0.76,-730590.3,0.49,0.0
0.74,-731422.61,0.49,-0.0
0.48,-731445.36,0.49,-0.0
0.69,-732751.83,0.49,-0.0
0.77,-732764.86,0.49,0.0
0.39,-733201.37,0.49,-0.0
0.74,-733267.54,0.49,0.0
0.62,-733594.22,0.49,-0.0
0.8,-734477.81,0.49,0.0
0.43,-734523.0,0.49,-0.0
0.41,-734718.7,0.49,-0.0
0.42,-735028.5,0.49,-0.0
0.48,-735394.33,0.49,-0.0
0.77,-735484.45,0.49,0.0
0.79,-735744.54,0.49,0.0
0.37,-735906.99,0.49,-0.0
0.68,-736321.74,0.49,0.0
0.71,-736439.2,0.49,0.0
0.54,-738662.89,0.49,0.0
0.66,-739020.73,0.49,-0.0
0.45,-740227.19,0.49,-0.0
0.63,-740542.19,0.49,0.0
0.53,-740614.63,0.49,0.0
0.37,-740635.98,0.49,-0.0
0.8,-740763.69,0.49,0.0
0.5,-741277.23,0.49,-0.0
0.77,-741524.68,0.49,0.0
0.79,-741938.62,0.49,0.0
0.75,-742489.9,0.49,0.0
0.57,-742508.96,0.49,-0.0
0.54,-742548.03,0.49,-0.0
0.47,-742598.8,0.49,-0.0
0.36,-743048.75,0.49,-0.0
0.81,-743836.01,0.49,0.0
0.69,-745646.42,0.49,0.0
0.81,-745798.63,0.49,0.0
0.81,-745800.9,0.49,0.0
0.81,-746324.29,0.49,0.0
0.47,-746450.72,0.49,-0.0
0.81,-747059.29,0.49,0.0
0.8,-748160.92,0.49,0.0
0.72,-748302.17,0.49,-0.0
0.44,-748911.77,0.49,-0.0
0.71,-748958.45,0.49,0.0
0.39,-749130.31,0.49,-0.0
0.81,-750733.65,0.49,0.0
0.71,-751014.1,0.49,0.0
0.4,-751061.97,0.49,-0.0
0.62,-751493.05,0.49,-0.0
0.53,-751905.15,0.49,0.0
0.37,-752304.48,0.49,-0.0
0.54,-752891.07,0.49,-0.0
0.64,-753377.73,0.49,0.0
0.38,-753691.79,0.49,-0.0
0.69,-753701.5,0.49,-0.0
0.52,-754131.89,0.49,-0.0
0.58,-756092.43,0.49,-0.0
0.39,-756292.2,0.49,-0.0
0.73,-756414.89,0.49,-0.0
0.82,-756543.19,0.49,0.0
0.73,-757781.79,0.49,-0.0
0.76,-757848.74,0.49,0.0
0.4,-757898.29,0.49,-0.0
0.75,-758507.9,0.49,0.0
0.71,-759040.99,0.49,-0.0
0.61,-759584.62,0.49,-0.0
0.37,-759699.58,0.49,-0.0
0.42,-759994.76,0.49,-0.0
0.39,-760228.35,0.49,-0.0
0.82,-760575.69,0.49,0.0
0.68,-760866.63,0.49,0.0
0.4,-761914.78,0.49,-0.0
0.77,-762248.86,0.49,0.0
0.54,-762728.92,0.49,0.0
0.61,-763398.41,0.49,-0.0
0.75,-763524.65,0.49,-0.0
0.74,-763530.11,0.49,-0.0
0.56,-763542.86,0.49,-0.0
0.71,-763576.98,0.49,-0.0
0.82,-764478.34,0.49,0.0
0.4,-764905.97,0.49,-0.0
0.63,-765409.67,0.49,0.0
0.73,-765415.13,0.49,-0.0
0.66,-767256.71,0.49,-0.0
0.72,-767745.27,0.49,-0.0
0.36,-768360.19,0.49,-0.0
0.43,-768502.22,0.49,-0.0
0.51,-769518.18,0.49,-0.0
0.35,-769683.12,0.49,-0.0
0.68,-770107.98,0.49,0.0
0.82,-770497.09,0.49,0.0
0.46,-771460.61,0.49,-0.0
0.42,-771827.68,0.49,-0.0
0.82,-773118.39,0.49,0.0
0.36,-774545.08,0.49,-0.0
0.35,-775083.25,0.49,-0.0
0.39,-775660.34,0.49,-0.0
0.44,-775702.28,0.49,-0.0
0.48,-775788.16,0.49,-0.0
0.36,-776047.75,0.49,-0.0
0.66,-776402.18,0.49,-0.0
0.76,-777508.91,0.49,-0.0
0.34,-778306.98,0.49,-0.0
0.79,-778370.53,0.49,0.0
0.61,-778549.61,0.49,-0.0
0.34,-779528.27,0.49,-0.0
0.61,-779970.18,0.49,0.0
0.5,-780367.63,0.49,0.0
0.46,-780421.34,0.49,-0.0
0.4,-780990.29,0.49,-0.0
0.83,-781504.15,0.49,0.0
0.35,-782174.88,0.49,-0.0
0.49,-782266.86,0.49,-0.0
0.7,-782340.87,0.49,-0.0
0.75,-782728.91,0.49,-0.0
0.77,-782742.36,0.49,0.0
0.72,-782828.1,0.49,-0.0
0.59,-783177.77,0.49,-0.0
0.36,-783964.99,0.49,-0.0
0.75,-784284.86,0.49,-0.0
0.82,-784482.28,0.49,0.0
0.48,-784485.23,0.49,-0.0
0.44,-785563.89,0.49,-0.0
0.34,-785677.68,0.49,-0.0
0.76,-785759.82,0.49,0.0
0.78,-786012.13,0.49,0.0
0.61,-786052.74,0.49,-0.0
0.43,-786185.03,0.49,-0.0
0.41,-786234.1,0.49,-0.0
0.34,-786777.67,0.49,-0.0
0.33,-786780.54,0.49,-0.0
0.59,-786806.22,0.49,-0.0
0.43,-786809.72,0.49,-0.0
0.35,-787335.3,0.49,-0.0
0.49,-787781.7,0.49,-0.0
0.82,-788493.39,0.49,0.0
0.6,-789026.74,0.49,-0.0
0.39,-789060.74,0.49,-0.0
0.41,-789709.88,0.49,-0.0
0.35,-791304.08,0.49,-0.0
0.78,-791394.23,0.49,0.0
0.34,-791535.56,0.49,-0.0
0.33,-792341.87,0.49,-0.0
0.56,-793117.59,0.49,-0.0
0.45,-793504.35,0.49,-0.0
0.45,-793613.35,0.49,-0.0
0.63,-793728.96,0.49,-0.0
0.8,-793837.54,0.49,0.0
0.44,-794091.76,0.49,-0.0
0.54,-794675.22,0.49,0.0
0.64,-794825.51,0.49,-0.0
0.36,-795187.48,0.49,-0.0
0.5,-795631.51,0.49,0.0
0.83,-797116.81,0.49,0.0
0.56,-797183.52,0.49,-0.0
0.64,-797223.1,0.49,0.0
0.73,-797551.01,0.49,-0.0
0.49,-799071.98,0.49,0.0
0.75,-799213.96,0.49,0.0
0.83,-799248.58,0.49,0.0
0.34,-799544.73,0.49,-0.0
0.39,-799567.73,0.49,-0.0
0.75,-799762.02,0.49,-0.0
0.38,-800850.12,0.49,-0.0
0.73,-800982.44,0.49,0.0
0.33,-801082.73,0.49,-0.0
0.39,-801526.1,0.49,-0.0
0.83,-801960.04,0.49,0.0
0.38,-802202.5,0.49,-0.0
0.33,-802977.74,0.49,-0.0
0.33,-804172.2,0.49,-0.0
0.45,-804930.81,0.49,-0.0
0.78,-805135.58,0.49,-0.0
0.48,-805478.9,0.49,-0.0
0.74,-805781.53,0.49,0.0
0.34,-806082.39,0.49,-0.0
0.67,-806444.25,0.49,-0.0
0.44,-806450.27,0.49,-0.0
0.79,-806980.64,0.49,0.0
0.51,-807137.96,0.49,0.0
0.37,-807357.67,0.49,-0.0
0.34,-807520.13,0.49,-0.0
0.78,-807566.39,0.49,-0.0
0.82,-808065.49,0.49,0.0
0.62,-808117.38,0.49,0.0
0.8,-808296.74,0.49,0.0
0.61,-808546.79,0.49,0.0
0.75,-808710.68,0.49,0.0
0.67,-808723.28,0.49,-0.0
0.33,-808805.28,0.49,-0.0
0.32,-808826.58,0.49,-0.0
0.83,-808981.69,0.49,0.0
0.85,-809188.09,0.49,0.0
0.56,-809627.72,0.49,-0.0
0.36,-810101.69,0.49,-0.0
0.45,-810122.39,0.49,-0.0
0.83,-810132.52,0.49,0.0
0.56,-810219.03,0.49,0.0
0.62,-811089.79,0.49,0.0
0.7,-812409.39,0.49,0.0
0.45,-813092.34,0.49,-0.0
0.7,-813365.98,0.49,-0.0
0.54,-813557.31,0.49,0.0
0.78,-813759.88,0.49,0.0
0.56,-813801.2,0.49,-0.0
0.32,-814485.04,0.49,-0.0
0.6,-814799.45,0.49,-0.0
0.73,-814864.43,0.49,-0.0
0.83,-814872.94,0.49,0.0
0.54,-816216.8,0.49,0.0
0.75,-816289.34,0.49,-0.0
0.35,-816444.79,0.49,-0.0
0.32,-816686.05,0.49,-0.0
0.31,-816741.66,0.49,-0.0
0.46,-817132.59,0.49,-0.0
0.72,-817499.24,0.49,0.0
0.81,-817503.46,0.49,0.0
0.32,-817758.3,0.49,-0.0
0.74,-818105.76,0.49,-0.0
0.38,-818376.78,0.49,-0.0
0.31,-819551.04,0.49,-0.0
0.34,-819597.99,0.49,-0.0
0.54,-819819.2,0.49,-0.0
0.32,-820050.43,0.49,-0.0
0.32,-820157.96,0.49,-0.0
0.77,-820283.7,0.49,-0.0
0.69,-820969.18,0.49,-0.0
0.79,-821158.55,0.49,0.0
0.38,-821185.34,0.49,-0.0
0.85,-821533.31,0.49,0.0
0.35,-822016.1,0.49,-0.0
0.42,-822344.67,0.49,-0.0
0.85,-822914.65,0.49,0.0
0.35,-823039.03,0.49,-0.0
0.33,-823067.88,0.49,-0.0
0.58,-823849.66,0.49,-0.0
0.85,-824015.68,0.49,0.0
0.7,-825052.61,0.49,0.0
0.4,-825111.46,0.49,-0.0
0.33,-825137.69,0.49,-0.0
0.31,-825268.59,0.49,-0.0
0.37,-825351.63,0.49,-0.0
0.35,-825439.26,0.49,-0.0
0.74,-825554.33,0.49,-0.0
0.81,-826118.18,0.49,0.0
0.8,-827083.49,0.49,0.0
0.85,-827981.16,0.49,0.0
0.46,-829312.96,0.49,-0.0
0.33,-829329.86,0.49,-0.0
0.51,-830669.49,0.49,-0.0
0.5,-830982.17,0.49,0.0
0.3,-832453.68,0.49,-0.0
0.85,-832880.54,0.49,0.0
0.7,-832985.96,0.49,-0.0
0.85,-833410.05,0.49,0.0
