Snow ratio,Log likelihood,Error std,H2 lapse rate
0.8,-1329808.18,3.04,0.01
0.77,-1330536.73,3.04,0.0
0.26,-1332551.92,3.04,-0.04
0.67,-1333299.96,3.04,-0.01
0.29,-1333527.22,3.04,-0.04
0.63,-1333912.0,3.04,0.01
0.67,-1334430.04,3.04,0.02
0.43,-1334434.07,3.04,-0.0
0.33,-1334450.63,3.04,-0.04
0.28,-1334873.07,3.04,-0.03
0.81,-1336268.95,3.04,0.01
0.33,-1336986.77,3.04,-0.02
0.77,-1337006.63,3.04,0.02
0.49,-1337754.83,3.04,-0.03
0.75,-1337974.76,3.04,0.02
0.5,-1338092.9,3.04,0.0
0.42,-1338154.62,3.04,-0.01
0.54,-1338466.36,3.04,-0.03
0.48,-1339134.63,3.04,0.0
0.71,-1339446.02,3.04,-0.01
0.81,-1340058.86,3.04,0.01
0.25,-1341319.3,3.04,-0.04
0.26,-1341370.11,3.04,-0.04
0.34,-1341460.51,3.04,-0.02
0.79,-1341505.54,3.04,0.0
0.37,-1341624.77,3.04,-0.01
0.26,-1342289.88,3.04,-0.04
0.53,-1343517.25,3.04,-0.03
0.55,-1343805.33,3.04,-0.03
0.81,-1344025.02,3.04,0.01
0.6,-1344284.46,3.04,0.01
0.69,-1344389.21,3.04,0.02
0.81,-1344893.92,3.04,0.01
0.73,-1344960.7,3.04,-0.01
0.65,-1346700.48,3.04,-0.02
0.25,-1347010.39,3.04,-0.03
0.29,-1347092.33,3.04,-0.02
0.38,-1347155.39,3.04,-0.04
0.55,-1347276.11,3.04,0.01
0.62,-1347466.48,3.04,-0.02
0.29,-1347754.3,3.04,-0.02
0.26,-1347965.3,3.04,-0.04
0.67,-1348342.59,3.04,-0.01
0.69,-1349543.94,3.04,0.02
0.6,-1349775.0,3.04,-0.02
0.27,-1349879.27,3.04,-0.04
0.42,-1349927.77,3.04,-0.01
0.8,-1350000.51,3.04,0.02
0.8,-1350428.44,3.04,0.01
0.3,-1350753.65,3.04,-0.02
0.28,-1350825.29,3.04,-0.03
0.25,-1352962.11,3.04,-0.04
0.57,-1353115.87,3.04,-0.02
0.49,-1353151.75,3.04,-0.03
0.26,-1353898.01,3.04,-0.03
0.49,-1354093.94,3.04,-0.03
0.36,-1354381.3,3.04,-0.04
0.53,-1354570.12,3.04,-0.03
0.4,-1355787.18,3.04,-0.01
0.79,-1356093.17,3.04,0.02
0.26,-1356160.48,3.04,-0.03
